review_text,date,rating,verified_purchase,platform,brand,product_name,price,clean_text,tokens,token_count,month,price_signal,price_signal_score,brand_perception,price_keywords,brand_keywords,vader_compound,vader_positive,vader_neutral,vader_negative,vader_label,transformer_label,transformer_score,transformer_confidence,transformer_source,sentiment_label,sentiment_score
"Paisa vasool earbuds, sound is crisp and battery life is solid for the price",2025-08-03,5,True,Amazon India,boAt,Airdopes 141,1299,paisa vasool earbuds sound is crisp and battery life is solid for the price,"['paisa', 'vasool', 'earbuds', 'sound', 'crisp', 'battery', 'life', 'solid', 'price']",9,2025-08,value_positive,1,neutral_brand_signal,['paisa vasool'],[],0.1531,0.11,0.89,0.0,positive,,,,unavailable,positive,0.1531
"Packaging was damaged and the case looked duplicate, not worth this price",2025-08-11,2,True,Flipkart,boAt,Airdopes 141,1299,packaging was damaged and the case looked duplicate not worth this price,"['packaging', 'damaged', 'case', 'looked', 'duplicate', 'worth', 'price']",7,2025-08,mixed_signal,0,brand_risk,"['not worth', 'worth']","['damaged', 'duplicate']",-0.5523,0.0,0.687,0.313,negative,,,,unavailable,negative,-0.5523
"Good budget phone, camera is decent and overall value for money",2025-08-17,4,True,Amazon India,Redmi,Redmi 13C,9499,good budget phone camera is decent and overall value for money,"['good', 'budget', 'phone', 'camera', 'decent', 'overall', 'value', 'money']",8,2025-08,value_positive,2,neutral_brand_signal,"['budget', 'value']",[],0.6486,0.371,0.629,0.0,positive,,,,unavailable,positive,0.6486
Battery drains fast and charger quality feels cheap,2025-08-29,2,False,Flipkart,Redmi,Redmi 13C,9499,battery drains fast and charger quality feels cheap,"['battery', 'drains', 'fast', 'charger', 'quality', 'feels', 'cheap']",7,2025-08,no_signal,0,neutral_brand_signal,[],[],0.0,0.0,1.0,0.0,neutral,,,,unavailable,neutral,0.0
"Prestige cooker is reliable, sturdy and perfect for daily use",2025-09-02,5,True,Amazon India,Prestige,Pressure Cooker,2199,prestige cooker is reliable sturdy and perfect for daily use,"['prestige', 'cooker', 'reliable', 'sturdy', 'perfect', 'daily', 'use']",7,2025-09,no_signal,0,brand_positive,[],['reliable'],0.5719,0.291,0.709,0.0,positive,,,,unavailable,positive,0.5719
"Handle became loose in one week, expected better quality from this brand",2025-09-05,2,True,Flipkart,Prestige,Pressure Cooker,2199,handle became loose in one week expected better quality from this brand,"['handle', 'loose', 'week', 'expected', 'better', 'quality', 'brand']",7,2025-09,no_signal,0,neutral_brand_signal,[],[],0.1531,0.191,0.658,0.151,positive,,,,unavailable,positive,0.1531
Samsung power bank charges quickly but a bit expensive compared to local options,2025-09-09,3,True,Amazon India,Samsung,Power Bank 20000mAh,2299,samsung power bank charges quickly but a bit expensive compared to local options,"['samsung', 'power', 'bank', 'charges', 'quickly', 'bit', 'expensive', 'compared', 'local', 'options']",10,2025-09,price_concern,-1,neutral_brand_signal,['expensive'],[],-0.1406,0.0,0.886,0.114,negative,,,,unavailable,negative,-0.1406
"Trusted brand and original product, I will buy again during the next sale",2025-09-18,5,True,Amazon India,Samsung,Power Bank 20000mAh,2299,trusted brand and original product i will buy again during the next sale,"['trusted', 'brand', 'original', 'sale']",4,2025-09,no_signal,0,brand_positive,[],"['original', 'trusted brand']",0.6597,0.329,0.671,0.0,positive,,,,unavailable,positive,0.6597
"Bakwaas stitching on this kurti, waste of money and cloth feels very poor",2025-09-24,1,True,Flipkart,Generic,Cotton Kurti,799,bakwaas stitching on this kurti waste of money and cloth feels very poor,"['bakwaas', 'stitching', 'kurti', 'waste', 'money', 'cloth', 'feels', 'poor']",8,2025-09,price_concern,-1,neutral_brand_signal,['waste of money'],[],-0.7346,0.0,0.64,0.36,negative,,,,unavailable,negative,-0.7346
Looks good in photos but material is thin and overpriced,2025-10-02,2,False,Amazon India,Generic,Cotton Kurti,799,looks good in photos but material is thin and overpriced,"['looks', 'good', 'photos', 'material', 'overpriced']",5,2025-10,price_concern,-1,neutral_brand_signal,['overpriced'],[],0.2382,0.178,0.822,0.0,positive,,,,unavailable,positive,0.2382
